Date,Milk,Rice,Ngano,Ugali,Meat,Matumbo,Kuku,Sugar,Total
01-Jul-23,22,1.5,3,4,2,0,2,3,17980
02-Jul-23,19,1.5,2,4,3,2,1,3.5,14740
03-Jul-23,17,1.5,1,4,2,1,1,2.5,12630
04-Jul-23,12,1.5,2.5,3,2,1,1,2,11870
05-Jul-23,21,1,2,3,2,1,1,2,12130
06-Jul-23,19,1,2,3,2.5,1,0,2,13050
07-Jul-23,19,1,3,4,2,1,0.5,2,8160
08-Jul-23,16,1,1,4,3,1.5,0,2,12740
09-Jul-23,21,1,1,4,3,2.5,1,2,14280
10-Jul-23,18,1,2,4,3,0,1,2,14230
11-Jul-23,22,1.5,2,4,3.5,2,1,2.5,17130
12-Jul-23,23,1.5,3.5,5,3,3.5,0,2,16110
13-Jul-23,19,1,2,3,4,1,0,2,13160
14-Jul-23,17,1.5,3,3,2,0,1,2,14520
15-Jul-23,7,1.5,2,3,2,0,1,2,12550
16-Jul-23,26,2,3,5,6,1,1,3,18420
17-Jul-23,29,1.5,3,3,3,2,1,2,13200
18-Jul-23,16,1.5,3,3,1,2,1,2,11960
19-Jul-23,22,1.5,3,3,3,2,1,2,13940
20-Jul-23,16,1.5,3,3,3,2,1,2,12870
21-Jul-23,27,2,3,3,3,2,1,3,16650
22-Jul-23,18,1.5,2,4,2,2,0,3,13680
23-Jul-23,26,2,3,4,4,3,0,3,16600
24-Jul-23,17,1.5,2,3,2,2,0,3,11250
25-Jul-23,15,1.5,2,3,3,2,1,2,12240
26-Jul-23,23,1.5,3,5,2,2,1,2,16560
27-Jul-23,18,1.5,3,3,2,1,1,3,13670
28-Jul-23,21,1.5,2,4,3,0,1,3,14160
29-Jul-23,22,1.5,3,5,2,2,1,3,16360
30-Jul-23,18,2,3,4.5,4,2,1,3,17820
31-Jul-23,22,2,3,4,3,2,0,3,16180
01-Aug-23,12,2,3,5,2,2,0,3,18890
02-Aug-23,13,2,3,4,2,2,1,2,16100
03-Aug-23,21,2,3,3,3,0,1,3,14500
04-Aug-23,25,2,3,4,4,0,1,2,15280
05-Aug-23,16,2,2,4,3,2,1,3,14770
06-Aug-23,15,1.5,3,4,2,1,1,3,13890
